"","Category","income","cost"
"1","ICT Skills/Content","Advanced
Economies",1.328985578508
"2","Policy/Regulation","Advanced
Economies",0.190633177245
"3","Remote Coverage","Advanced
Economies",8.38841166804064
"4","Mobile Infra Opex","Advanced
Economies",0.213815914694354
"5","Metro+Backbone Fiber","Advanced
Economies",0.23865627157643
"6","Mobile Infra Capex","Advanced
Economies",0.177742411754366
"7","ICT Skills/Content","Emerging
Market
Economies",24.768861723256
"8","Policy/Regulation","Emerging
Market
Economies",3.55291049309
"9","Remote Coverage","Emerging
Market
Economies",58.8086463145654
"10","Mobile Infra Opex","Emerging
Market
Economies",8.49753173475501
"11","Metro+Backbone Fiber","Emerging
Market
Economies",12.2474674288496
"12","Mobile Infra Capex","Emerging
Market
Economies",7.06388851668817
"13","ICT Skills/Content","Low Income
Developing
Countries",12.590323981922
"14","Policy/Regulation","Low Income
Developing
Countries",1.8059890957675
"15","Remote Coverage","Low Income
Developing
Countries",1.34032009340063
"16","Mobile Infra Opex","Low Income
Developing
Countries",10.4706321022846
"17","Metro+Backbone Fiber","Low Income
Developing
Countries",15.197699761765
"18","Mobile Infra Capex","Low Income
Developing
Countries",8.70410140009053
