"","Category","region","cost"
"1","ICT Skills/Content","Advanced
Economies",1.328985578508
"2","Policy/Regulation","Advanced
Economies",0.190633177245
"3","Remote Coverage","Advanced
Economies",8.38841166804064
"4","Mobile Infra Opex","Advanced
Economies",1.95000158993636
"5","Metro+Backbone Fiber","Advanced
Economies",0.80247253045781
"6","Mobile Infra Capex","Advanced
Economies",1.62101116755314
"7","ICT Skills/Content","Caucasus and
Central
Asia",0.407215588058
"8","Policy/Regulation","Caucasus and
Central
Asia",0.0584120720575
"9","Remote Coverage","Caucasus and
Central
Asia",2.69075140722419
"10","Mobile Infra Opex","Caucasus and
Central
Asia",3.22412930171084
"11","Metro+Backbone Fiber","Caucasus and
Central
Asia",1.35190996691188
"12","Mobile Infra Capex","Caucasus and
Central
Asia",2.68017709866542
"13","ICT Skills/Content","Emerging and
Developing
Asia",20.420271466796
"14","Policy/Regulation","Emerging and
Developing
Asia",2.929137300565
"15","Remote Coverage","Emerging and
Developing
Asia",2.41674433050116
"16","Mobile Infra Opex","Emerging and
Developing
Asia",175.456654201991
"17","Metro+Backbone Fiber","Emerging and
Developing
Asia",50.0485703991355
"18","Mobile Infra Capex","Emerging and
Developing
Asia",145.854853324617
"19","ICT Skills/Content","Emerging and
Developing
Europe",0.890216261444
"20","Policy/Regulation","Emerging and
Developing
Europe",0.127694955535
"21","Remote Coverage","Emerging and
Developing
Europe",8.46017150923491
"22","Mobile Infra Opex","Emerging and
Developing
Europe",6.4162253485546
"23","Metro+Backbone Fiber","Emerging and
Developing
Europe",2.61633867014199
"24","Mobile Infra Capex","Emerging and
Developing
Europe",5.3337253657747
"25","ICT Skills/Content","Latin America
and the
Caribbean",2.23817198888
"26","Policy/Regulation","Latin America
and the
Caribbean",0.3210492607
"27","Remote Coverage","Latin America
and the
Caribbean",24.1886415548713
"28","Mobile Infra Opex","Latin America
and the
Caribbean",21.8431540818428
"29","Metro+Backbone Fiber","Latin America
and the
Caribbean",8.11838635260307
"30","Mobile Infra Capex","Latin America
and the
Caribbean",18.1579322211767
"31","ICT Skills/Content","MENA, AFG
and PAK",3.986110591104
"32","Policy/Regulation","MENA, AFG
and PAK",0.57177815856
"33","Remote Coverage","MENA, AFG
and PAK",17.9320487512318
"34","Mobile Infra Opex","MENA, AFG
and PAK",44.1782015193814
"35","Metro+Backbone Fiber","MENA, AFG
and PAK",10.1707246794877
"36","Mobile Infra Capex","MENA, AFG
and PAK",36.7247690437359
"37","ICT Skills/Content","Sub-Saharan
Africa",9.417199808896
"38","Policy/Regulation","Sub-Saharan
Africa",1.35082784144
"39","Remote Coverage","Sub-Saharan
Africa",4.46060885490269
"40","Mobile Infra Opex","Sub-Saharan
Africa",55.8719110902293
"41","Metro+Backbone Fiber","Sub-Saharan
Africa",31.2350543580393
"42","Mobile Infra Capex","Sub-Saharan
Africa",46.4455989662828
